CNS,RFC,PROVEEDOR,PARTIDA,CLAVE ,DESCRIPCIÓN,UNIDAD DE MEDIDA,CLAVE (SAICA),"DESCRIPCIÓN
 (SAICA)",UNIDAD DE MEDIDA (SAICA),CANTIDAD RECIBIDA,FECHA DE ENTREGA,LUGAR DE ENTREGA,CONTRATO,REMISION,PEDIDO,LOTE,CADUCIDAD,FOLIO ,OBSERVACIONES ,COSTO UNITARIO PESOS,"COSTO UNITARIO PESOS (UNOPS) CON IVA
PARTIDA 2541",COSTO UNITARIO PESOS (UNOPS) SIN IVA,COSTO UNITARIO DOLARES (UNOPS),COSTO UNITARIO EN DOLARES,TIPO DE CAMBIO,COSTO UNITARIO SIN IVA,PRECIO UNITARIO SIN IVA,IVA,PIEZAS,PRECIO UNITARIO CON IVA SIN IVA,SUBTOTAL,IVA.1,IMPORTE TOTAL,MARCA,FABRICANTE,FECHA DE FABRICACIÓN,CADUCIDAD CONFORME A CERTIFICADO,TIPO DE ENTREGA,LICITACION/PROCEDIMIENTO,RESPONSABLE,REVISO,TIPO DE RED,FECHA DE CAPTURA,EPA
3244,IME190522GE3,INTEGRACION MEDICA ESTERIL,2951,531.784.0204,REANIMADOR DE ASISTENCIA VENTILATORIA. EQUIPO PARA AYUDAR A RESTABLECER LA FUNCIÓN DE LA VENTILACIÓN POR MÉTODO NO INVASIVO EN PACIENTES NEONATOS PEDIÁTRICOS Y ADULTOS. CON LAS SIGUIENTES CARACTERÍSTICAS SELECCIONABLES DE ACUERDO A LAS NECESIDADES DE LAS UNIDADES MÉDICAS: BOLSA DE DOBLE CUBIERTA O CUBIERTA SENCILLA. AUTOINFLABLE. DESARMABLE Y ESTERILIZABLE. VÁLVULA DE NO REINHALACIÓN DE BAJA RESISTENCIA ESPIRATORIA. RESERVORIO DE OXÍGENO CON CAPACIDAD EN ML. CONEXIÓN PARA OXÍGENO SUPLEMENTARIO. CONECTORES PARA EL PACIENTE. VOLUMEN DE LA BOLSA. RESISTENCIAS INSPIRATORIA Y ESPIRATORIA MÁXIMAS EN AGUA/LITRO/SEGUNDO.,Pieza,531.784.0204,Reanimador de asistencia ventilatoria. Equipo para ayudar a restablecer la función de la ventilación por método no invasivo en pacientes neonatos pediátricos y adultos. Con las siguientes características seleccionables de acuerdo a las necesidades de las unidades médicas: Bolsa de doble cubierta o cubierta sencilla. Autoinflable. Desarmable y esterilizable. Válvula de no reinhalación de baja resistencia espiratoria. Reservorio de oxígeno con capacidad en ml. Conexión para oxígeno suplementario. Conectores para el paciente. Volumen de la bolsa. Resistencias inspiratoria y espiratoria máximas en agua/litro/segundo.,Pieza,120,2025-06-09,JARDIN,NAN,854,NAN,440126,2028-08-02 00:00:00,1761,"FONDO REVOLVENTE ""IMSS-BIENESTAR""",452.0,,0,,0,,452.0,452.0,72.32000000000001,120,524.32,54240.00000000001,8678.400000000001,62918.40000000001,NAN,NAN,,,FONDO REVOLVENTE IMSS-BIENESTAR,NAN,LAURA VIANETH,,NAN,2025-10-10,NAN
3245,IME190522GE3,INTEGRACION MEDICA ESTERIL,2951,531.784.0204,REANIMADOR DE ASISTENCIA VENTILATORIA. EQUIPO PARA AYUDAR A RESTABLECER LA FUNCIÓN DE LA VENTILACIÓN POR MÉTODO NO INVASIVO EN PACIENTES NEONATOS PEDIÁTRICOS Y ADULTOS. CON LAS SIGUIENTES CARACTERÍSTICAS SELECCIONABLES DE ACUERDO A LAS NECESIDADES DE LAS UNIDADES MÉDICAS: BOLSA DE DOBLE CUBIERTA O CUBIERTA SENCILLA. AUTOINFLABLE. DESARMABLE Y ESTERILIZABLE. VÁLVULA DE NO REINHALACIÓN DE BAJA RESISTENCIA ESPIRATORIA. RESERVORIO DE OXÍGENO CON CAPACIDAD EN ML. CONEXIÓN PARA OXÍGENO SUPLEMENTARIO. CONECTORES PARA EL PACIENTE. VOLUMEN DE LA BOLSA. RESISTENCIAS INSPIRATORIA Y ESPIRATORIA MÁXIMAS EN AGUA/LITRO/SEGUNDO.,Pieza,531.784.0204,Reanimador de asistencia ventilatoria. Equipo para ayudar a restablecer la función de la ventilación por método no invasivo en pacientes neonatos pediátricos y adultos. Con las siguientes características seleccionables de acuerdo a las necesidades de las unidades médicas: Bolsa de doble cubierta o cubierta sencilla. Autoinflable. Desarmable y esterilizable. Válvula de no reinhalación de baja resistencia espiratoria. Reservorio de oxígeno con capacidad en ml. Conexión para oxígeno suplementario. Conectores para el paciente. Volumen de la bolsa. Resistencias inspiratoria y espiratoria máximas en agua/litro/segundo.,Pieza,29,2025-06-09,JARDIN,NAN,854,NAN,439519,2028-08-02 00:00:00,1761,"FONDO REVOLVENTE ""IMSS-BIENESTAR""",452.0,,0,,0,,452.0,452.0,72.32000000000001,29,524.32,13108.0,2097.28,15205.28,NAN,NAN,,,FONDO REVOLVENTE IMSS-BIENESTAR,NAN,LAURA VIANETH,,NAN,2025-10-10,NAN
3246,IME190522GE3,INTEGRACION MEDICA ESTERIL,2951,531.784.0204,REANIMADOR DE ASISTENCIA VENTILATORIA. EQUIPO PARA AYUDAR A RESTABLECER LA FUNCIÓN DE LA VENTILACIÓN POR MÉTODO NO INVASIVO EN PACIENTES NEONATOS PEDIÁTRICOS Y ADULTOS. CON LAS SIGUIENTES CARACTERÍSTICAS SELECCIONABLES DE ACUERDO A LAS NECESIDADES DE LAS UNIDADES MÉDICAS: BOLSA DE DOBLE CUBIERTA O CUBIERTA SENCILLA. AUTOINFLABLE. DESARMABLE Y ESTERILIZABLE. VÁLVULA DE NO REINHALACIÓN DE BAJA RESISTENCIA ESPIRATORIA. RESERVORIO DE OXÍGENO CON CAPACIDAD EN ML. CONEXIÓN PARA OXÍGENO SUPLEMENTARIO. CONECTORES PARA EL PACIENTE. VOLUMEN DE LA BOLSA. RESISTENCIAS INSPIRATORIA Y ESPIRATORIA MÁXIMAS EN AGUA/LITRO/SEGUNDO.,Pieza,531.784.0204,Reanimador de asistencia ventilatoria. Equipo para ayudar a restablecer la función de la ventilación por método no invasivo en pacientes neonatos pediátricos y adultos. Con las siguientes características seleccionables de acuerdo a las necesidades de las unidades médicas: Bolsa de doble cubierta o cubierta sencilla. Autoinflable. Desarmable y esterilizable. Válvula de no reinhalación de baja resistencia espiratoria. Reservorio de oxígeno con capacidad en ml. Conexión para oxígeno suplementario. Conectores para el paciente. Volumen de la bolsa. Resistencias inspiratoria y espiratoria máximas en agua/litro/segundo.,Pieza,40,2025-06-09,JARDIN,NAN,854,NAN,459334,2028-11-06 00:00:00,1761,"FONDO REVOLVENTE ""IMSS-BIENESTAR""",452.0,,0,,0,,452.0,452.0,72.32000000000001,40,524.32,18080.000000000004,2892.8,20972.800000000003,NAN,NAN,,,FONDO REVOLVENTE IMSS-BIENESTAR,NAN,LAURA VIANETH,,NAN,2025-10-10,NAN
3247,IME190522GE3,INTEGRACION MEDICA ESTERIL,2951,531.784.0204,REANIMADOR DE ASISTENCIA VENTILATORIA. EQUIPO PARA AYUDAR A RESTABLECER LA FUNCIÓN DE LA VENTILACIÓN POR MÉTODO NO INVASIVO EN PACIENTES NEONATOS PEDIÁTRICOS Y ADULTOS. CON LAS SIGUIENTES CARACTERÍSTICAS SELECCIONABLES DE ACUERDO A LAS NECESIDADES DE LAS UNIDADES MÉDICAS: BOLSA DE DOBLE CUBIERTA O CUBIERTA SENCILLA. AUTOINFLABLE. DESARMABLE Y ESTERILIZABLE. VÁLVULA DE NO REINHALACIÓN DE BAJA RESISTENCIA ESPIRATORIA. RESERVORIO DE OXÍGENO CON CAPACIDAD EN ML. CONEXIÓN PARA OXÍGENO SUPLEMENTARIO. CONECTORES PARA EL PACIENTE. VOLUMEN DE LA BOLSA. RESISTENCIAS INSPIRATORIA Y ESPIRATORIA MÁXIMAS EN AGUA/LITRO/SEGUNDO.,Pieza,531.784.0204,Reanimador de asistencia ventilatoria. Equipo para ayudar a restablecer la función de la ventilación por método no invasivo en pacientes neonatos pediátricos y adultos. Con las siguientes características seleccionables de acuerdo a las necesidades de las unidades médicas: Bolsa de doble cubierta o cubierta sencilla. Autoinflable. Desarmable y esterilizable. Válvula de no reinhalación de baja resistencia espiratoria. Reservorio de oxígeno con capacidad en ml. Conexión para oxígeno suplementario. Conectores para el paciente. Volumen de la bolsa. Resistencias inspiratoria y espiratoria máximas en agua/litro/segundo.,Pieza,50,2025-06-09,JARDIN,NAN,854,NAN,407966,2028-02-06 00:00:00,1761,"FONDO REVOLVENTE ""IMSS-BIENESTAR""",452.0,,0,,0,,452.0,452.0,72.32000000000001,50,524.32,22600.000000000004,3616.0000000000005,26216.000000000004,NAN,NAN,,,FONDO REVOLVENTE IMSS-BIENESTAR,NAN,LAURA VIANETH,,NAN,2025-10-10,NAN
3248,IME190522GE3,INTEGRACION MEDICA ESTERIL,2951,531.784.0204,REANIMADOR DE ASISTENCIA VENTILATORIA. EQUIPO PARA AYUDAR A RESTABLECER LA FUNCIÓN DE LA VENTILACIÓN POR MÉTODO NO INVASIVO EN PACIENTES NEONATOS PEDIÁTRICOS Y ADULTOS. CON LAS SIGUIENTES CARACTERÍSTICAS SELECCIONABLES DE ACUERDO A LAS NECESIDADES DE LAS UNIDADES MÉDICAS: BOLSA DE DOBLE CUBIERTA O CUBIERTA SENCILLA. AUTOINFLABLE. DESARMABLE Y ESTERILIZABLE. VÁLVULA DE NO REINHALACIÓN DE BAJA RESISTENCIA ESPIRATORIA. RESERVORIO DE OXÍGENO CON CAPACIDAD EN ML. CONEXIÓN PARA OXÍGENO SUPLEMENTARIO. CONECTORES PARA EL PACIENTE. VOLUMEN DE LA BOLSA. RESISTENCIAS INSPIRATORIA Y ESPIRATORIA MÁXIMAS EN AGUA/LITRO/SEGUNDO.,Pieza,531.784.0204,Reanimador de asistencia ventilatoria. Equipo para ayudar a restablecer la función de la ventilación por método no invasivo en pacientes neonatos pediátricos y adultos. Con las siguientes características seleccionables de acuerdo a las necesidades de las unidades médicas: Bolsa de doble cubierta o cubierta sencilla. Autoinflable. Desarmable y esterilizable. Válvula de no reinhalación de baja resistencia espiratoria. Reservorio de oxígeno con capacidad en ml. Conexión para oxígeno suplementario. Conectores para el paciente. Volumen de la bolsa. Resistencias inspiratoria y espiratoria máximas en agua/litro/segundo.,Pieza,30,2025-06-09,JARDIN,NAN,854,NAN,407706,2028-02-01 00:00:00,1761,"FONDO REVOLVENTE ""IMSS-BIENESTAR""",452.0,,0,,0,,452.0,452.0,72.32000000000001,30,524.32,13560.000000000002,2169.6000000000004,15729.600000000002,NAN,NAN,,,FONDO REVOLVENTE IMSS-BIENESTAR,NAN,LAURA VIANETH,,NAN,2025-10-10,NAN
3784,BLM570301JJ5,"BECKMAN LABORATORIES DE MEXICO, S.A. DE C.V.",2531,010.000.6231.00,PERINDOPRIL / AMLODIPINO. COMPRIMIDOS CADA COMPRIMIDO CONTIENE: PERINDROPRILARGININA 5 MG. AMLODIPINO 5 MG. FRASCO CON 30 COMPRIMIDOS.,Frasco,010.000.6231.00,PERINDOPRIL / AMLODIPINO. COMPRIMIDOS CADA COMPRIMIDO CONTIENE: PERINDROPRILARGININA 5 MG. AMLODIPINO 5 MG. FRASCO CON 30 COMPRIMIDOS.,Frasco,383,2025-07-01,JARDIN,IB/1543/2025,3177305502,IMBB-09-02-2025-09089114-U013,744650,2026-06-13 00:00:00,2106,,132.76,,0,,0,,132.76,132.76,0.0,383,132.76,50847.079999999994,0.0,50847.079999999994,COVERSAM,BECKMAN LABORAORIES DE MEXICO S.A. DE C.V.,2024-06-13,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,MIGUEL HERNANDEZ,ARACELI,RED SECA,2025-07-01,NAN
3785,BLM570301JJ5,"BECKMAN LABORATORIES DE MEXICO, S.A. DE C.V.",2531,010.000.6071.00,IVABRADINA. COMPRIMIDO CADA COMPRIMIDO CONTIENE: IVABRADINA 5 MG EQUIVALENTE A5.390 MG DE CLORHIDRATO DE IVABRADINA ENVASE CON 56 COMPRIMIDOS.,Envase,010.000.6071.00,Ivabradina 5 mg (Equivalentes a 5.390 mg de clorhidrato de ivabradina) Comprimidos,Envase con 56 comprimidos,10,2025-07-01,JARDIN,IB/2193/2025,1189330089,IMBB-09-02-2025-09101027-U013,6105810,2027-07-09 00:00:00,2100,,213.61,,0,,0,,213.61,213.61,0.0,10,213.61,2136.1000000000004,0.0,2136.1000000000004,PROCORALAN,BECKMAN LABORAORIES DE MEXICO S.A. DE C.V.,2024-07-09,,IMSS-BIENESTAR,IA-12-NEF-012NEF001-I-30-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3786,BME820511SU5,"BAYER DE MEXICO, S.A. DE C.V.",2531,010.000.2208.00,LEVONORGESTREL POLVO EL DISPOSITIVO CON POLVO CONTIENE: LEVONORGESTREL(MICRONIZADO) 52 MG ENVASE CON UN DISPOSITIVO.,Pieza,2208,LEVONORGESTREL POLVO EL DISPOSITIVO CON POLVO CONTIENE: LEVONORGESTREL (MICRONIZADO) 52 MG ENVASE CON UN DISPOSITIVO. 52 mg ,ENV1ENV,269,2025-07-01,JARDIN,IB/1541/2025,615575447,IMBB-09-02-2025-09100771-U013,TU046D5,2027-01-31 00:00:00,2107,,580.0,,0,,0,,580.0,580.0,0.0,269,580.0,156020.0,0.0,156020.0,MIRENA,"BAYER DE MEXICO, S.A. DE C.V.",2024-01-21,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,MIGUEL HERNANDEZ,ARACELI,RED SECA,2025-07-01,NAN
3787,LRS030905Q16,"LABORATORIO RAAM DE SAHUAYO, S.A. DE C.V.",2531,010.000.3308.00,ATOMOXETINA. CAPSULA CADA CAPSULA CONTIENE: CLORHIDRATO DE ATOMOXETINA EQUIVALENTE A 40 MG DE ATOMOXETINA. ENVASE CON 14 CAPSULAS.,Pieza,010.000.3308.00,ATOMOXETINA. CAPSULA CADA CAPSULA CONTIENE: CLORHIDRATO DE ATOMOXETINA EQUIVALENTE A 40 MG DE ATOMOXETINA. ENVASE CON 14 CAPSULAS.,Pieza,41,2025-07-01,JARDIN,IB/1654/2025,2467337860,IMBB-09-02-2025-09094987-U013,RDP006,2027-02-28 00:00:00,2115,,34.0,,0,,0,,34.0,34.0,0.0,41,34.0,1394.0,0.0,1394.0,DANPRINON,LABORATORIO RAAM DE SAHUAYO S.A. DE C.V.,2025-02-28,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,MIGUEL HERNANDEZ,ARACELI,RED SECA,2025-07-01,NAN
3788,SAN641110MK7,"SANDOZ, S.A. DE C.V.",2531,010.000.5445.01,RITUXIMAB. SOLUCION INYECTABLE. CADA FRASCO AMPULA CONTIENE RITUXIMAB 500 MG.ENVASE CON DOS FRASCOS AMPULA CON 50 ML CADA UNO.,Pieza,010.000.5445.01,RITUXIMAB. SOLUCION INYECTABLE. CADA FRASCO AMPULA CONTIENE RITUXIMAB 500 MG.ENVASE CON DOS FRASCOS AMPULA CON 50 ML CADA UNO.,Pieza,4,2025-07-01,JARDIN,IB/1018/2025,3253867499,IMBB-09-02-2025-09082397-U013,PM1883,2027-11-30 00:00:00,2116,,4050.0,,0,,0,,4050.0,4050.0,0.0,4,4050.0,16200.0,0.0,16200.0,ARASAMILA,SANDOZ S.A. DE C.V.,2024-12-16,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-17-2025,MIGUEL HERNANDEZ,ARACELI,RED SECA,2025-07-01,NAN
